,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
60,21177373,1616419009,abc086_a,abc086,aozorarb,Ruby (2.7.1),0.0,126,RE,63.0
61,21177432,1616419106,abc086_a,abc086,aozorarb,Ruby (2.7.1),100.0,123,AC,63.0
62,21177522,1616419249,abc086_a,abc086,aozorarb,Ruby (2.7.1),100.0,130,AC,61.0
63,21181168,1616426028,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,139,RE,66.0
64,21181351,1616426375,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,137,WA,63.0
65,21181470,1616426694,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,179,WA,91.0
66,21181489,1616426745,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,175,WA,91.0
67,21181677,1616427201,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,181,RE,63.0
68,21181721,1616427296,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,155,WA,91.0
69,21181782,1616427464,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,154,WA,92.0
70,21181860,1616427663,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,162,RE,58.0
71,21181932,1616427839,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,120,RE,65.0
72,21181995,1616427981,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,123,RE,67.0
73,21182003,1616428017,abc086_b,abc086,aozorarb,Ruby (2.7.1),0.0,114,WA,92.0
74,21182139,1616428443,abc086_b,abc086,aozorarb,Ruby (2.7.1),200.0,171,AC,63.0
75,21238395,1616651506,abc131_c,abc131,aozorarb,Ruby (2.7.1),0.0,141,RE,64.0
76,21241166,1616660155,abc131_c,abc131,aozorarb,Ruby (2.7.1),0.0,162,WA,2206.0
77,21241229,1616660310,abc131_c,abc131,aozorarb,Ruby (2.7.1),0.0,135,RE,68.0
78,21241297,1616660508,abc131_c,abc131,aozorarb,Ruby (2.7.1),0.0,155,RE,65.0
79,21241565,1616661272,abc145_a,abc145,aozorarb,Ruby (2.7.1),100.0,59,AC,70.0
80,21245243,1616672721,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,88,CE,
81,21245256,1616672751,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,89,WA,8.0
82,21245272,1616672805,APG4b_ct,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,91,AC,6.0
83,21245289,1616672848,APG4b_a,APG4b,aozorarb,Ruby (2.7.1),0.0,19,WA,58.0
84,21245306,1616672897,APG4b_a,APG4b,aozorarb,Ruby (2.7.1),100.0,20,AC,67.0
85,21245430,1616673250,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,111,WA,8.0
86,21245575,1616673696,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,572,RE,114.0
87,21245666,1616673865,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,595,CE,
88,21245673,1616673880,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,596,RE,116.0
89,21245804,1616674179,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,679,RE,112.0
90,21245869,1616674326,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,464,CE,
91,21245887,1616674363,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,422,WA,8.0
92,21245934,1616674435,APG4b_cq,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,460,AC,6.0
93,21246059,1616674743,abc086_a,abc086,aozorarb,C++ (GCC 9.2.1),0.0,173,CE,
94,21246080,1616674773,abc086_a,abc086,aozorarb,C++ (GCC 9.2.1),0.0,193,CE,
95,21246098,1616674811,abc086_a,abc086,aozorarb,C++ (GCC 9.2.1),100.0,210,AC,5.0
96,21246294,1616675271,abc088_a,abc088,aozorarb,C++ (GCC 9.2.1),100.0,193,AC,5.0
97,21246410,1616675565,abc083_a,abc083,aozorarb,C++ (GCC 9.2.1),0.0,260,CE,
98,21246415,1616675573,abc083_a,abc083,aozorarb,C++ (GCC 9.2.1),0.0,265,CE,
99,21246428,1616675601,abc083_a,abc083,aozorarb,C++ (GCC 9.2.1),0.0,285,CE,
100,21246435,1616675627,abc083_a,abc083,aozorarb,C++ (GCC 9.2.1),100.0,286,AC,3.0
101,21246547,1616675862,abc080_a,abc080,aozorarb,C++ (GCC 9.2.1),0.0,198,WA,9.0
102,21246628,1616675993,abc080_a,abc080,aozorarb,C++ (GCC 9.2.1),100.0,198,AC,3.0
103,21246872,1616676521,APG4b_cp,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,684,AC,7.0
104,21247020,1616676791,APG4b_co,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,363,CE,
105,21247060,1616676876,APG4b_co,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,361,WA,8.0
106,21247212,1616677196,APG4b_co,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,293,CE,
107,21247229,1616677232,APG4b_co,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,296,WA,8.0
108,21247267,1616677306,APG4b_co,APG4b,aozorarb,C++ (GCC 9.2.1),100.0,312,AC,6.0
109,21247540,1616677931,APG4b_cn,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,278,CE,
110,21247543,1616677938,APG4b_cn,APG4b,aozorarb,C++ (GCC 9.2.1),0.0,279,WA,8.0
